drug_ingredient,has_inn,buzz_count,source_regions,company,trend_tags,flags,articles_json,latest_date
oveporexton,True,1,US-FDA,,📈 新進觀察標的,臨床 三期,"[{""source"": ""US-FDA"", ""title"": ""FDA 核准新分子實體：Orzeyful"", ""summary"": ""To treat narcolepsy type 1"", ""url"": ""https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026"", ""date"": ""2026-08-05""}]",2026-08-05
Abatacept,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Abatacept"", ""summary"": ""Treatment of rheumatoid, psoriatic arthritis and polyarticular juvenile idiopathic arthritis in patients 6 years of age and older"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Aceclidine,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Aceclidine"", ""summary"": ""Treatment of presbyopia in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Anselamimab,True,1,EU-EMA,,📈 新進觀察標的,孤兒藥,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Anselamimab"", ""summary"": ""Treatment of adult patients with kappa light chain amyloidosis"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Apitegromab,True,1,EU-EMA,,📈 新進觀察標的,孤兒藥 / PRIME,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Apitegromab"", ""summary"": ""Treatment of 5q spinal muscular atrophy (SMA)"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Apixaban,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Apixaban"", ""summary"": ""Prevention of venous thromboembolic events (VTE), stroke and systemic embolism; treatment of deep vein thrombosis (DVT) and pulmonary embolism (PE) in adults. Treatment of VTE in children from 28 days to < 18 years of age."", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Asundexian,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Asundexian"", ""summary"": ""Prevention of ischaemic stroke in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Atrasentan,True,1,EU-EMA,,📈 新進觀察標的,孤兒藥,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Atrasentan"", ""summary"": ""Indicated for the treatment of adults with primary immunoglobulin A nephropathy"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Baxdrostat,True,1,EU-EMA,ASTRAZENECA AB,📈 新進觀察標的,臨床 三期,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Baxdrostat"", ""summary"": ""Treatment of hypertension in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Bepirovirsen,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Bepirovirsen"", ""summary"": ""Treatment of chronic hepatitis B virus (HBV) infection in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Bevacizumab,True,1,EU-EMA,PFIZER INC,📈 新進觀察標的,臨床 三期,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Bevacizumab"", ""summary"": ""Treatment of adult patients with advanced or metastatic cancers"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Bilayer engineered skin composed of autologous keratinocytes and allogeneic fibroblasts embedded in an allogeneic plasma matrix,True,1,EU-EMA,,📈 新進觀察標的,孤兒藥,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Bilayer engineered skin composed of autologous keratinocytes and allogeneic fibroblasts embedded in an allogeneic plasma matrix"", ""summary"": ""Treatment of adults and children with partial deep dermal and full-thickness burns."", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Cefepime / Zidebactam,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Cefepime / Zidebactam"", ""summary"": ""Treatment of a number of infections in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Cemdisiran,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Cemdisiran"", ""summary"": ""Treatment of generalised myasthenia gravis in adult patients"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Cladribine,True,1,EU-EMA,,📈 新進觀察標的,孤兒藥,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Cladribine"", ""summary"": ""Treatment of acute myeloid leukaemia (AML) in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Cosibelimab,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Cosibelimab"", ""summary"": ""Treatment of adult patients with metastatic or locally advanced cutaneous squamous cell carcinoma"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Denecimig,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Denecimig"", ""summary"": ""Prophylaxis of bleeding episodes in patients with haemophilia A"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Denosumab,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Denosumab"", ""summary"": ""Treatment of adult patients with osteoporosis or bone loss"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Deucrictibant,True,1,EU-EMA,,📈 新進觀察標的,孤兒藥,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Deucrictibant"", ""summary"": ""Treatment of acute attacks of hereditary angioedema (HAE) in adult and paediatric patients 12 years of age and older"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Deuruxolitinib,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Deuruxolitinib"", ""summary"": ""Treatment of severe alopecia areata in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Doravirine / Islatravir,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Doravirine / Islatravir"", ""summary"": ""Treatment of HIV-1 infection in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Emapalumab,True,1,EU-EMA,,📈 新進觀察標的,孤兒藥,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Emapalumab"", ""summary"": ""Treatment of acute or recurrent secondary haemophagocytic lymphohistiocytosis (sHLH) in adult and paediatric patients (6 months and older)"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Enlicitide,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Enlicitide"", ""summary"": ""Indicated in adults with primary hypercholesterolaemia or mixed dyslipidaemia"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Ensartinib,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Ensartinib"", ""summary"": ""The treatment of adult patients with anaplastic lymphoma kinase (ALK)-positive advanced non-small cell lung cancer (NSCLC)."", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Etripamil,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Etripamil"", ""summary"": ""Indicated for the rapid conversion of paroxysmal supraventricular tachycardia (PSVT) episodes to sinus rhythm in adults."", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
