drug_ingredient,has_inn,brand,company,indication,flags,source_regions,latest_date,gap_code,gap_label,foreign_stages_json,taiwan_stages_json,gap_json,news_json,articles_json
oveporexton,True,Orzeyful,,To treat narcolepsy type 1,臨床 三期,US-FDA,2026-08-05,foreign_approved_tw_pending,🚨 國外已核准 ｜ 台灣未上市,"{""stages"": [{""id"": ""foreign-1"", ""reached"": true, ""label"": ""實證文獻"", ""title"": ""臨床 三期 試驗"", ""url"": ""https://pubmed.ncbi.nlm.nih.gov/?term=oveporexton+AND+(Phase+3+OR+%22Phase+III%22+OR+%22clinical+trial%22)+AND+(%22last+1+years%22%5BPDat%5D)"", ""temp_class"": ""temp-blue""}, {""id"": ""foreign-2"", ""reached"": true, ""label"": ""國外審查"", ""title"": ""FDA 審查完成"", ""url"": ""https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026"", ""temp_class"": ""temp-amber""}, {""id"": ""foreign-3"", ""reached"": true, ""label"": ""國外核准"", ""title"": ""FDA 正式核准"", ""url"": ""https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026"", ""temp_class"": ""temp-red""}], ""active_count"": 3, ""highest_title"": ""FDA 正式核准""}","{""stages"": [{""id"": ""tw-1"", ""reached"": false, ""label"": ""台灣審查"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov.tw/tc/siteSearch.aspx?q=oveporexton"", ""temp_class"": ""temp-blue""}, {""id"": ""tw-2"", ""reached"": false, ""label"": ""取得藥證"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov.tw/tc/sitelist.aspx?sid=2712"", ""temp_class"": ""temp-teal""}, {""id"": ""tw-3"", ""reached"": false, ""label"": ""核准健保給付"", ""title"": ""尚未出現"", ""url"": ""https://www.nhi.gov.tw/ch/cp-1296-1c080-3269-1.html"", ""temp_class"": ""temp-red""}], ""active_count"": 0, ""license_no"": """", ""highest_title"": ""尚未出現""}","{""code"": ""foreign_approved_tw_pending"", ""label"": ""🚨 國外已核准 ｜ 台灣未上市"", ""badge_class"": ""badge-gap-danger"", ""desc"": ""FDA 已正式核准上市，台灣尚未取得許可證（關鍵進度落差）""}",[],"[{""source"": ""US-FDA"", ""title"": ""FDA 核准新分子實體：Orzeyful"", ""summary"": ""To treat narcolepsy type 1"", ""url"": ""https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026"", ""date"": ""2026-08-05"", ""extras"": {""kind"": ""approval"", ""phase"": ""三期"", ""pubmed_p3_count"": 4, ""pubmed_top_id"": ""42583265""}}]"
Bevacizumab,True,,"OUTLOOK THERAPEUTICS, INC.",Treatment of adult patients with advanced or metastatic cancers,臨床 三期,EU-EMA,2026-08-04,foreign_review_tw_pending,⏳ 國外審查中 ｜ 台灣未送件,"{""stages"": [{""id"": ""foreign-1"", ""reached"": true, ""label"": ""實證文獻"", ""title"": ""臨床 三期 試驗"", ""url"": ""https://pubmed.ncbi.nlm.nih.gov/?term=Bevacizumab+AND+(Phase+3+OR+%22Phase+III%22+OR+%22clinical+trial%22)+AND+(%22last+1+years%22%5BPDat%5D)"", ""temp_class"": ""temp-blue""}, {""id"": ""foreign-2"", ""reached"": true, ""label"": ""國外審查"", ""title"": ""EMA 審查中"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""temp_class"": ""temp-amber""}, {""id"": ""foreign-3"", ""reached"": false, ""label"": ""國外核准"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov/drugs/development-approval-process-drugs/novel-drug-approvals-fda"", ""temp_class"": ""temp-red""}], ""active_count"": 2, ""highest_title"": ""EMA 審查中""}","{""stages"": [{""id"": ""tw-1"", ""reached"": false, ""label"": ""台灣審查"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov.tw/tc/siteSearch.aspx?q=Bevacizumab"", ""temp_class"": ""temp-blue""}, {""id"": ""tw-2"", ""reached"": false, ""label"": ""取得藥證"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov.tw/tc/sitelist.aspx?sid=2712"", ""temp_class"": ""temp-teal""}, {""id"": ""tw-3"", ""reached"": false, ""label"": ""核准健保給付"", ""title"": ""尚未出現"", ""url"": ""https://www.nhi.gov.tw/ch/cp-1296-1c080-3269-1.html"", ""temp_class"": ""temp-red""}], ""active_count"": 0, ""license_no"": """", ""highest_title"": ""尚未出現""}","{""code"": ""foreign_review_tw_pending"", ""label"": ""⏳ 國外審查中 ｜ 台灣未送件"", ""badge_class"": ""badge-gap-warning"", ""desc"": ""國外 EMA / FDA 審查進行中，台灣尚未有公開申請紀錄""}",[],"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Bevacizumab"", ""summary"": ""Treatment of adult patients with advanced or metastatic cancers"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04"", ""extras"": {""kind"": ""under_evaluation"", ""snapshot"": true, ""orphan"": false, ""prime"": false, ""accelerated"": false, ""ema_product_no"": ""EMEA/H/C/005995"", ""application_no"": ""BLA761320"", ""phase"": ""三期"", ""pubmed_p3_count"": 231, ""pubmed_top_id"": ""42588704""}}]"
Apixaban,True,,,"Prevention of venous thromboembolic events (VTE), stroke and systemic embolism; treatment of deep vein thrombosis (DVT) and pulmonary embolism (PE) in adults. Treatment of VTE in children from 28 days to < 18 years of age.",,EU-EMA,2026-08-04,foreign_review_tw_pending,⏳ 國外審查中 ｜ 台灣未送件,"{""stages"": [{""id"": ""foreign-1"", ""reached"": true, ""label"": ""實證文獻"", ""title"": ""臨床實證已登錄"", ""url"": ""https://pubmed.ncbi.nlm.nih.gov/?term=Apixaban+AND+(Phase+3+OR+%22Phase+III%22+OR+%22clinical+trial%22)+AND+(%22last+1+years%22%5BPDat%5D)"", ""temp_class"": ""temp-blue""}, {""id"": ""foreign-2"", ""reached"": true, ""label"": ""國外審查"", ""title"": ""EMA 審查中"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""temp_class"": ""temp-amber""}, {""id"": ""foreign-3"", ""reached"": false, ""label"": ""國外核准"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov/drugs/development-approval-process-drugs/novel-drug-approvals-fda"", ""temp_class"": ""temp-red""}], ""active_count"": 2, ""highest_title"": ""EMA 審查中""}","{""stages"": [{""id"": ""tw-1"", ""reached"": false, ""label"": ""台灣審查"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov.tw/tc/siteSearch.aspx?q=Apixaban"", ""temp_class"": ""temp-blue""}, {""id"": ""tw-2"", ""reached"": false, ""label"": ""取得藥證"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov.tw/tc/sitelist.aspx?sid=2712"", ""temp_class"": ""temp-teal""}, {""id"": ""tw-3"", ""reached"": false, ""label"": ""核准健保給付"", ""title"": ""尚未出現"", ""url"": ""https://www.nhi.gov.tw/ch/cp-1296-1c080-3269-1.html"", ""temp_class"": ""temp-red""}], ""active_count"": 0, ""license_no"": """", ""highest_title"": ""尚未出現""}","{""code"": ""foreign_review_tw_pending"", ""label"": ""⏳ 國外審查中 ｜ 台灣未送件"", ""badge_class"": ""badge-gap-warning"", ""desc"": ""國外 EMA / FDA 審查進行中，台灣尚未有公開申請紀錄""}",[],"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Apixaban"", ""summary"": ""Prevention of venous thromboembolic events (VTE), stroke and systemic embolism; treatment of deep vein thrombosis (DVT) and pulmonary embolism (PE) in adults. Treatment of VTE in children from 28 days to < 18 years of age."", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04"", ""extras"": {""kind"": ""under_evaluation"", ""snapshot"": true, ""orphan"": false, ""prime"": false, ""accelerated"": false, ""ema_product_no"": ""EMEA/H/C/006752"", ""pubmed_p3_count"": 54, ""pubmed_top_id"": ""42599041""}}]"
Orforglipron,True,,ELI LILLY AND CO,Treatment of obesity and type 2 diabetes mellitus in adults,臨床 三期,EU-EMA,2026-08-04,foreign_review_tw_pending,⏳ 國外審查中 ｜ 台灣未送件,"{""stages"": [{""id"": ""foreign-1"", ""reached"": true, ""label"": ""實證文獻"", ""title"": ""臨床 三期 試驗"", ""url"": ""https://pubmed.ncbi.nlm.nih.gov/?term=Orforglipron+AND+(Phase+3+OR+%22Phase+III%22+OR+%22clinical+trial%22)+AND+(%22last+1+years%22%5BPDat%5D)"", ""temp_class"": ""temp-blue""}, {""id"": ""foreign-2"", ""reached"": true, ""label"": ""國外審查"", ""title"": ""EMA 審查中"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""temp_class"": ""temp-amber""}, {""id"": ""foreign-3"", ""reached"": false, ""label"": ""國外核准"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov/drugs/development-approval-process-drugs/novel-drug-approvals-fda"", ""temp_class"": ""temp-red""}], ""active_count"": 2, ""highest_title"": ""EMA 審查中""}","{""stages"": [{""id"": ""tw-1"", ""reached"": false, ""label"": ""台灣審查"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov.tw/tc/siteSearch.aspx?q=Orforglipron"", ""temp_class"": ""temp-blue""}, {""id"": ""tw-2"", ""reached"": false, ""label"": ""取得藥證"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov.tw/tc/sitelist.aspx?sid=2712"", ""temp_class"": ""temp-teal""}, {""id"": ""tw-3"", ""reached"": false, ""label"": ""核准健保給付"", ""title"": ""尚未出現"", ""url"": ""https://www.nhi.gov.tw/ch/cp-1296-1c080-3269-1.html"", ""temp_class"": ""temp-red""}], ""active_count"": 0, ""license_no"": """", ""highest_title"": ""尚未出現""}","{""code"": ""foreign_review_tw_pending"", ""label"": ""⏳ 國外審查中 ｜ 台灣未送件"", ""badge_class"": ""badge-gap-warning"", ""desc"": ""國外 EMA / FDA 審查進行中，台灣尚未有公開申請紀錄""}",[],"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Orforglipron"", ""summary"": ""Treatment of obesity and type 2 diabetes mellitus in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04"", ""extras"": {""kind"": ""under_evaluation"", ""snapshot"": true, ""orphan"": false, ""prime"": false, ""accelerated"": false, ""ema_product_no"": ""EMEA/H/C/006632"", ""application_no"": ""NDA220934"", ""phase"": ""三期"", ""pubmed_p3_count"": 27, ""pubmed_top_id"": ""42582425""}}]"
Abatacept,True,,,"Treatment of rheumatoid, psoriatic arthritis and polyarticular juvenile idiopathic arthritis in patients 6 years of age and older",,EU-EMA,2026-08-04,foreign_review_tw_pending,⏳ 國外審查中 ｜ 台灣未送件,"{""stages"": [{""id"": ""foreign-1"", ""reached"": true, ""label"": ""實證文獻"", ""title"": ""臨床實證已登錄"", ""url"": ""https://pubmed.ncbi.nlm.nih.gov/?term=Abatacept+AND+(Phase+3+OR+%22Phase+III%22+OR+%22clinical+trial%22)+AND+(%22last+1+years%22%5BPDat%5D)"", ""temp_class"": ""temp-blue""}, {""id"": ""foreign-2"", ""reached"": true, ""label"": ""國外審查"", ""title"": ""EMA 審查中"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""temp_class"": ""temp-amber""}, {""id"": ""foreign-3"", ""reached"": false, ""label"": ""國外核准"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov/drugs/development-approval-process-drugs/novel-drug-approvals-fda"", ""temp_class"": ""temp-red""}], ""active_count"": 2, ""highest_title"": ""EMA 審查中""}","{""stages"": [{""id"": ""tw-1"", ""reached"": false, ""label"": ""台灣審查"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov.tw/tc/siteSearch.aspx?q=Abatacept"", ""temp_class"": ""temp-blue""}, {""id"": ""tw-2"", ""reached"": false, ""label"": ""取得藥證"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov.tw/tc/sitelist.aspx?sid=2712"", ""temp_class"": ""temp-teal""}, {""id"": ""tw-3"", ""reached"": false, ""label"": ""核准健保給付"", ""title"": ""尚未出現"", ""url"": ""https://www.nhi.gov.tw/ch/cp-1296-1c080-3269-1.html"", ""temp_class"": ""temp-red""}], ""active_count"": 0, ""license_no"": """", ""highest_title"": ""尚未出現""}","{""code"": ""foreign_review_tw_pending"", ""label"": ""⏳ 國外審查中 ｜ 台灣未送件"", ""badge_class"": ""badge-gap-warning"", ""desc"": ""國外 EMA / FDA 審查進行中，台灣尚未有公開申請紀錄""}",[],"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Abatacept"", ""summary"": ""Treatment of rheumatoid, psoriatic arthritis and polyarticular juvenile idiopathic arthritis in patients 6 years of age and older"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04"", ""extras"": {""kind"": ""under_evaluation"", ""snapshot"": true, ""orphan"": false, ""prime"": false, ""accelerated"": false, ""ema_product_no"": ""EMEA/H/C/006741"", ""pubmed_p3_count"": 24, ""pubmed_top_id"": ""42504757""}}]"
Baxdrostat,True,,ASTRAZENECA AB,Treatment of hypertension in adults,臨床 三期,EU-EMA,2026-08-04,foreign_review_tw_pending,⏳ 國外審查中 ｜ 台灣未送件,"{""stages"": [{""id"": ""foreign-1"", ""reached"": true, ""label"": ""實證文獻"", ""title"": ""臨床 三期 試驗"", ""url"": ""https://pubmed.ncbi.nlm.nih.gov/?term=Baxdrostat+AND+(Phase+3+OR+%22Phase+III%22+OR+%22clinical+trial%22)+AND+(%22last+1+years%22%5BPDat%5D)"", ""temp_class"": ""temp-blue""}, {""id"": ""foreign-2"", ""reached"": true, ""label"": ""國外審查"", ""title"": ""EMA 審查中"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""temp_class"": ""temp-amber""}, {""id"": ""foreign-3"", ""reached"": false, ""label"": ""國外核准"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov/drugs/development-approval-process-drugs/novel-drug-approvals-fda"", ""temp_class"": ""temp-red""}], ""active_count"": 2, ""highest_title"": ""EMA 審查中""}","{""stages"": [{""id"": ""tw-1"", ""reached"": false, ""label"": ""台灣審查"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov.tw/tc/siteSearch.aspx?q=Baxdrostat"", ""temp_class"": ""temp-blue""}, {""id"": ""tw-2"", ""reached"": false, ""label"": ""取得藥證"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov.tw/tc/sitelist.aspx?sid=2712"", ""temp_class"": ""temp-teal""}, {""id"": ""tw-3"", ""reached"": false, ""label"": ""核准健保給付"", ""title"": ""尚未出現"", ""url"": ""https://www.nhi.gov.tw/ch/cp-1296-1c080-3269-1.html"", ""temp_class"": ""temp-red""}], ""active_count"": 0, ""license_no"": """", ""highest_title"": ""尚未出現""}","{""code"": ""foreign_review_tw_pending"", ""label"": ""⏳ 國外審查中 ｜ 台灣未送件"", ""badge_class"": ""badge-gap-warning"", ""desc"": ""國外 EMA / FDA 審查進行中，台灣尚未有公開申請紀錄""}",[],"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Baxdrostat"", ""summary"": ""Treatment of hypertension in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04"", ""extras"": {""kind"": ""under_evaluation"", ""snapshot"": true, ""orphan"": false, ""prime"": false, ""accelerated"": false, ""ema_product_no"": ""EMEA/H/C/006597"", ""application_no"": ""NDA219878"", ""phase"": ""三期"", ""pubmed_p3_count"": 17, ""pubmed_top_id"": ""42535833""}}]"
Asundexian,True,,,Prevention of ischaemic stroke in adults,,EU-EMA,2026-08-04,foreign_review_tw_pending,⏳ 國外審查中 ｜ 台灣未送件,"{""stages"": [{""id"": ""foreign-1"", ""reached"": true, ""label"": ""實證文獻"", ""title"": ""臨床實證已登錄"", ""url"": ""https://pubmed.ncbi.nlm.nih.gov/?term=Asundexian+AND+(Phase+3+OR+%22Phase+III%22+OR+%22clinical+trial%22)+AND+(%22last+1+years%22%5BPDat%5D)"", ""temp_class"": ""temp-blue""}, {""id"": ""foreign-2"", ""reached"": true, ""label"": ""國外審查"", ""title"": ""EMA 審查中"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""temp_class"": ""temp-amber""}, {""id"": ""foreign-3"", ""reached"": false, ""label"": ""國外核准"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov/drugs/development-approval-process-drugs/novel-drug-approvals-fda"", ""temp_class"": ""temp-red""}], ""active_count"": 2, ""highest_title"": ""EMA 審查中""}","{""stages"": [{""id"": ""tw-1"", ""reached"": false, ""label"": ""台灣審查"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov.tw/tc/siteSearch.aspx?q=Asundexian"", ""temp_class"": ""temp-blue""}, {""id"": ""tw-2"", ""reached"": false, ""label"": ""取得藥證"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov.tw/tc/sitelist.aspx?sid=2712"", ""temp_class"": ""temp-teal""}, {""id"": ""tw-3"", ""reached"": false, ""label"": ""核准健保給付"", ""title"": ""尚未出現"", ""url"": ""https://www.nhi.gov.tw/ch/cp-1296-1c080-3269-1.html"", ""temp_class"": ""temp-red""}], ""active_count"": 0, ""license_no"": """", ""highest_title"": ""尚未出現""}","{""code"": ""foreign_review_tw_pending"", ""label"": ""⏳ 國外審查中 ｜ 台灣未送件"", ""badge_class"": ""badge-gap-warning"", ""desc"": ""國外 EMA / FDA 審查進行中，台灣尚未有公開申請紀錄""}",[],"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Asundexian"", ""summary"": ""Prevention of ischaemic stroke in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04"", ""extras"": {""kind"": ""under_evaluation"", ""snapshot"": true, ""orphan"": false, ""prime"": false, ""accelerated"": false, ""ema_product_no"": ""EMEA/H/C/006640"", ""pubmed_p3_count"": 16, ""pubmed_top_id"": ""42599041""}}]"
Atrasentan,True,,,Indicated for the treatment of adults with primary immunoglobulin A nephropathy,孤兒藥,EU-EMA,2026-08-04,foreign_review_tw_pending,⏳ 國外審查中 ｜ 台灣未送件,"{""stages"": [{""id"": ""foreign-1"", ""reached"": true, ""label"": ""實證文獻"", ""title"": ""臨床實證已登錄"", ""url"": ""https://pubmed.ncbi.nlm.nih.gov/?term=Atrasentan+AND+(Phase+3+OR+%22Phase+III%22+OR+%22clinical+trial%22)+AND+(%22last+1+years%22%5BPDat%5D)"", ""temp_class"": ""temp-blue""}, {""id"": ""foreign-2"", ""reached"": true, ""label"": ""國外審查"", ""title"": ""孤兒藥"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""temp_class"": ""temp-amber""}, {""id"": ""foreign-3"", ""reached"": false, ""label"": ""國外核准"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov/drugs/development-approval-process-drugs/novel-drug-approvals-fda"", ""temp_class"": ""temp-red""}], ""active_count"": 2, ""highest_title"": ""孤兒藥""}","{""stages"": [{""id"": ""tw-1"", ""reached"": false, ""label"": ""台灣審查"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov.tw/tc/siteSearch.aspx?q=Atrasentan"", ""temp_class"": ""temp-blue""}, {""id"": ""tw-2"", ""reached"": false, ""label"": ""取得藥證"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov.tw/tc/sitelist.aspx?sid=2712"", ""temp_class"": ""temp-teal""}, {""id"": ""tw-3"", ""reached"": false, ""label"": ""核准健保給付"", ""title"": ""尚未出現"", ""url"": ""https://www.nhi.gov.tw/ch/cp-1296-1c080-3269-1.html"", ""temp_class"": ""temp-red""}], ""active_count"": 0, ""license_no"": """", ""highest_title"": ""尚未出現""}","{""code"": ""foreign_review_tw_pending"", ""label"": ""⏳ 國外審查中 ｜ 台灣未送件"", ""badge_class"": ""badge-gap-warning"", ""desc"": ""國外 EMA / FDA 審查進行中，台灣尚未有公開申請紀錄""}",[],"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Atrasentan"", ""summary"": ""Indicated for the treatment of adults with primary immunoglobulin A nephropathy"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04"", ""extras"": {""kind"": ""under_evaluation"", ""snapshot"": true, ""orphan"": true, ""prime"": false, ""accelerated"": false, ""ema_product_no"": ""EMEA/H/C/006447"", ""pubmed_p3_count"": 6, ""pubmed_top_id"": ""42483539""}}]"
Bepirovirsen,True,,,Treatment of chronic hepatitis B virus (HBV) infection in adults,,EU-EMA,2026-08-04,foreign_review_tw_pending,⏳ 國外審查中 ｜ 台灣未送件,"{""stages"": [{""id"": ""foreign-1"", ""reached"": true, ""label"": ""實證文獻"", ""title"": ""臨床實證已登錄"", ""url"": ""https://pubmed.ncbi.nlm.nih.gov/?term=Bepirovirsen+AND+(Phase+3+OR+%22Phase+III%22+OR+%22clinical+trial%22)+AND+(%22last+1+years%22%5BPDat%5D)"", ""temp_class"": ""temp-blue""}, {""id"": ""foreign-2"", ""reached"": true, ""label"": ""國外審查"", ""title"": ""EMA 審查中"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""temp_class"": ""temp-amber""}, {""id"": ""foreign-3"", ""reached"": false, ""label"": ""國外核准"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov/drugs/development-approval-process-drugs/novel-drug-approvals-fda"", ""temp_class"": ""temp-red""}], ""active_count"": 2, ""highest_title"": ""EMA 審查中""}","{""stages"": [{""id"": ""tw-1"", ""reached"": false, ""label"": ""台灣審查"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov.tw/tc/siteSearch.aspx?q=Bepirovirsen"", ""temp_class"": ""temp-blue""}, {""id"": ""tw-2"", ""reached"": false, ""label"": ""取得藥證"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov.tw/tc/sitelist.aspx?sid=2712"", ""temp_class"": ""temp-teal""}, {""id"": ""tw-3"", ""reached"": false, ""label"": ""核准健保給付"", ""title"": ""尚未出現"", ""url"": ""https://www.nhi.gov.tw/ch/cp-1296-1c080-3269-1.html"", ""temp_class"": ""temp-red""}], ""active_count"": 0, ""license_no"": """", ""highest_title"": ""尚未出現""}","{""code"": ""foreign_review_tw_pending"", ""label"": ""⏳ 國外審查中 ｜ 台灣未送件"", ""badge_class"": ""badge-gap-warning"", ""desc"": ""國外 EMA / FDA 審查進行中，台灣尚未有公開申請紀錄""}",[],"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Bepirovirsen"", ""summary"": ""Treatment of chronic hepatitis B virus (HBV) infection in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04"", ""extras"": {""kind"": ""under_evaluation"", ""snapshot"": true, ""orphan"": false, ""prime"": false, ""accelerated"": false, ""ema_product_no"": ""EMEA/H/C/006715"", ""pubmed_p3_count"": 6, ""pubmed_top_id"": ""42264034""}}]"
Relacorilant,True,,CORCEPT THERAP,"Treatment of adult patients with platinum-resistant epithelial ovarian, fallopian tube, or primary peritoneal cancer",孤兒藥 / 臨床 三期,EU-EMA,2026-08-04,foreign_review_tw_pending,⏳ 國外審查中 ｜ 台灣未送件,"{""stages"": [{""id"": ""foreign-1"", ""reached"": true, ""label"": ""實證文獻"", ""title"": ""臨床 三期 試驗"", ""url"": ""https://pubmed.ncbi.nlm.nih.gov/?term=Relacorilant+AND+(Phase+3+OR+%22Phase+III%22+OR+%22clinical+trial%22)+AND+(%22last+1+years%22%5BPDat%5D)"", ""temp_class"": ""temp-blue""}, {""id"": ""foreign-2"", ""reached"": true, ""label"": ""國外審查"", ""title"": ""孤兒藥"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""temp_class"": ""temp-amber""}, {""id"": ""foreign-3"", ""reached"": false, ""label"": ""國外核准"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov/drugs/development-approval-process-drugs/novel-drug-approvals-fda"", ""temp_class"": ""temp-red""}], ""active_count"": 2, ""highest_title"": ""孤兒藥""}","{""stages"": [{""id"": ""tw-1"", ""reached"": false, ""label"": ""台灣審查"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov.tw/tc/siteSearch.aspx?q=Relacorilant"", ""temp_class"": ""temp-blue""}, {""id"": ""tw-2"", ""reached"": false, ""label"": ""取得藥證"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov.tw/tc/sitelist.aspx?sid=2712"", ""temp_class"": ""temp-teal""}, {""id"": ""tw-3"", ""reached"": false, ""label"": ""核准健保給付"", ""title"": ""尚未出現"", ""url"": ""https://www.nhi.gov.tw/ch/cp-1296-1c080-3269-1.html"", ""temp_class"": ""temp-red""}], ""active_count"": 0, ""license_no"": """", ""highest_title"": ""尚未出現""}","{""code"": ""foreign_review_tw_pending"", ""label"": ""⏳ 國外審查中 ｜ 台灣未送件"", ""badge_class"": ""badge-gap-warning"", ""desc"": ""國外 EMA / FDA 審查進行中，台灣尚未有公開申請紀錄""}",[],"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Relacorilant"", ""summary"": ""Treatment of adult patients with platinum-resistant epithelial ovarian, fallopian tube, or primary peritoneal cancer"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04"", ""extras"": {""kind"": ""under_evaluation"", ""snapshot"": true, ""orphan"": true, ""prime"": false, ""accelerated"": false, ""ema_product_no"": ""EMEA/H/C/006731"", ""application_no"": ""NDA220641"", ""phase"": ""三期"", ""pubmed_p3_count"": 6, ""pubmed_top_id"": ""42494820""}}]"
